Normalization	Tool	TotalProtIDs	UpsDeProtDetected	tp	fn	fp	tn	TPR	FNR	tested
cyclicloess	moFF	1766	19	0	19	0	1747	0	0.475	0.475
scale	moFF	2718	29	0	29	4	2685	0	0.725	0.725
quantile	moFF	2718	29	0	29	6	2683	0	0.725	0.725
vsn	moFF	2718	29	0	29	4	2685	0	0.725	0.725
cyclicloess	moFF_no_MBR	2717	29	15	14	5	2683	0.375	0.35	0.725
scale	moFF_no_MBR	2717	29	14	15	5	2683	0.35	0.375	0.725
quantile	moFF_no_MBR	2717	29	11	18	3	2685	0.275	0.45	0.725
vsn	moFF_no_MBR	2717	29	14	15	5	2683	0.35	0.375	0.725
cyclicloess	FlashLFQ	2163	17	15	2	21	2125	0.375	0.05	0.425
scale	FlashLFQ	2718	29	29	0	242	2447	0.725	0	0.725
quantile	FlashLFQ	2465	29	29	0	184	2252	0.725	0	0.725
vsn	FlashLFQ	2718	29	29	0	245	2444	0.725	0	0.725
cyclicloess	FlashLFQ_no_MBR	2163	17	15	2	21	2125	0.375	0.05	0.425
scale	FlashLFQ_no_MBR	0	0	0	0	0	0	0	0	0
quantile	FlashLFQ_no_MBR	2465	29	29	0	184	2252	0.725	0	0.725
vsn	FlashLFQ_no_MBR	2718	29	29	0	245	2444	0.725	0	0.725
cyclicloess	MaxQuant	1921	22	20	2	10	1889	0.5	0.05	0.55
scale	MaxQuant	2260	40	39	1	11	2209	0.975	0.025	1
quantile	MaxQuant	2260	40	39	1	13	2207	0.975	0.025	1
vsn	MaxQuant	2260	40	39	1	8	2212	0.975	0.025	1
cyclicloess	MaxQuant_no_MBR	1418	16	15	1	8	1394	0.375	0.025	0.4
scale	MaxQuant_no_MBR	2260	40	39	1	6	2214	0.975	0.025	1
quantile	MaxQuant_no_MBR	2219	40	40	0	103	2076	1	0	1
vsn	MaxQuant_no_MBR	2260	40	39	1	5	2215	0.975	0.025	1
NA	FlashLFQ_norm	3018	54	48	6	243	2721	1.2	0.15	1.35
NA	FlashLFQ_no_MBR_norm	3018	54	48	6	243	2721	1.2	0.15	1.35
MaxLFQ	MaxQuant	1828	25	12	13	2	1801	0.3	0.325	0.625
MaxLFQ	MaxQuant_no_Mbr	1537	16	6	10	0	1521	0.15	0.25	0.4
